,English,Tamil
854,Complaints that Pongal gift items are of poor quality..Stalin immediately took action..ordered the officials,"சார் நில்லுங்க! சண்டே லாக்வுடன் அதுவுமா, எங்க போறீங்க?.. வாகன தணிக்கையில் அமைச்சர் மா.சு. கெடுபிடி "
855,L. Murugan urgently met the Governor.. What will be the next move.. BJP is on alert,பொறுமையா இருங்க மக்களே..! போக போக தானா தெரியும் - அமைச்சர் மா.சுப்பிரமணியன் பேட்டி 
856,Corona beds are slowly filling up in Chennai hospitals.. The situation is worse for those who have not received 2 doses of vaccine,ஆளுநரை அவசர அவசரமாக சந்தித்த எல்.முருகன்.. அடுத்த மூவ் என்னவாக இருக்கும் .. அலார்ட் ஆகும் பாஜக 
857,Crooked.. Bulli Bai app followed by Sulli Deals app was also arrested.. Police arrested,வக்கிரம்.. Bulli Bai ஆப்பை தொடர்ந்து Sulli Deals செயலியை நடத்தியவரும் கைது.. வளைத்து பிடித்த போலீஸ் 
858,"In what way is this fair?.. Chennai- Tirupati ""jumped into trouble"" Nagari MLA Roja",நிலைமை கைமீறி போகிறது.. இதை உன்னிப்பாக கவனியுங்க.. தமிழக அரசுக்கு அலர்ட் கொடுக்கும் டிடிவி தினகரன் 
859,Put an end to the ongoing desecration of Periyar's statue.. Punish the culprits..K. Veeramani,"இது எந்த வகையில் நியாயம்?.. சென்னை- திருப்பதி ""பிரச்சினையில் குதித்த"" நகரி எம்எல்ஏ ரோஜா "
860,The situation is getting out of hand.. Watch this closely.. TTV Dhinakaran gives alert to Tamil Nadu Govt.,தொடரும் பெரியார் சிலை அவமதிப்புகளுக்கு முடிவு கட்டுங்க.. குற்றவாளிகளை தண்டிக்கனும்..கி. வீரமணி 
861,Corona: Notice to 6 hospitals that violated the rules of the Tamil Nadu government.. Chennai Corporation takes action!,கொரோனா: தமிழக அரசின் விதிகளை மீறிய 6 மருத்துவமனைகளுக்கு நோட்டீஸ்.. சென்னை மாநகராட்சி அதிரடி! 
862,What is the purpose of CBI inspection at People's Observatory? Humanity People's Party condemned!,அப்ப மட்டும் பேசுனீங்கல்ல.. இப்ப இத செய்யுங்க பாப்போம்... புள்ளி விவரத்துடன் ஓபிஎஸ் அறிக்கை 
863,Don't just talk about it.. Let's do it now... OPS report with statistics,மக்கள் கண்காணிப்பகத்தில் சிபிஐ சோதனை எதற்காக? மனிதநேய மக்கள் கட்சி கண்டனம்! 
864,Corona paralyzed the capital.. 750 doctors affected.. Difficulty in treating patients,கொரோனா ஊரடங்கு.. என்ன செய்யக்கூடாது என டவுட்டா? இந்த நம்பருக்கு கால் பண்ணுங்க.. சூப்பர் அறிவிப்பு
865,"Auction of women on the app.. Bulli Bai, who was ugly in Pant in the police investigation.. ""It"" is addicted!",விநோதம்.. ஒரே சாலை.. ஒரு புறம் திறக்கப்பட்ட கடைகள்.. மறுபுறம் மூடப்பட்ட கடைகள்.. ஓ இது தான் காரணமா!
866,"Vishwarupam in Delhi: 4 Supreme Court Judges, 402 Parliamentarians affected by Corona","மின்னல் வேகம்! தமிழகத்தில் மீண்டும் 50,000 கடந்த ஆக்டிவ் கேஸ்கள்.. சென்னையில் நிலைமை மிக மோசம்"
867,Life in prison residents of the proposal! Let's wait 100 days! Tamimun Ansari announcement!,திருச்சி சிறையில்.. சுதந்திர தியாகி 'நேதாஜி' புத்தகங்களை புரட்டும் ராஜேந்திர பாலாஜி.. சுவாரசிய தகவல்
868,Unexpected twist in Coimbatore woman's face throwing acid.. 59-year-old man arrested,ஆயுள் சிறைவாசிகள் முன்விடுதலை! 100 நாட்கள் காத்திருப்போம்! தமிமுன் அன்சாரி அறிவிப்பு! 
869,In Trichy Jail.. Freedom Martyr 'Netaji' Rajendra Balaji Flipping Books.. Interesting Information, கோவை அருகே வெள்ளலூரில் தந்தை பெரியார் சிலை அவமதிப்பு- மர்ம நபர்களுக்கு போலீஸ் வலை
870,Desecration of Father Periyar statue in Vellalur near Coimbatore- Police net for mysterious persons,கோவை பெண் முகத்தில் ஆசிட் வீசிய சம்பவத்தில் எதிர்பாராத ட்விஸ்ட்.. 59 வயது முதியவர் கைது 
871,"Lightning speed! 50,000 active cases in Tamil Nadu again.. The situation in Chennai is very bad",விஸ்வரூபம் எடுக்கும் புல்லி பாய் செயலி.. பின்னணியில் விஐபிக்கள்?..நீரஜ் பிஷ்னோய் தற்கொலைக்கு முயற்சி
872,India's one-day coronavirus cases cross 1.50 lakh - 327 deaths in 24 hours,இந்தியாவில் ஒருநாள் கொரோனா பாதிப்பு 1.50 லட்சத்தை தாண்டியது-24 மணிநேரத்தில் உயிரிழப்புகள் 327 
873,Weird.. same road.. shops open on one side.. shops closed on other side.. oh is this the reason!,தலைநகரை முடக்கிய கொரோனா.. 750 டாக்டர்களுக்கு பாதிப்பு.. நோயாளிகளுக்கு சிகிச்சை அளிப்பதில் சிரமம் 
874,Bully boy app that takes a form..VIPs in the background?..Neeraj Bishnoi attempted suicide," டெல்லியில் விஸ்வரூபம்: 4 உச்சநீதிமன்ற நீதிபதிகள், 402 நாடாளுமன்ற பணியாளர்களுக்கு கொரோனா பாதிப்பு"
875,Reservation case concluded- NEET Masters medical consultation starts on Jan.12!,ஆக்டிவ் கேஸ்கள் அதிகரிப்பு- முக்கிய ஆலோசனை நடத்திய பிரதமர் மோடி! 
876,Corona curfew.. What should not be done? Call this number.. Super notification,"ஆப்பில் பெண்கள் ஏலம்.. போலீஸ் விசாரணையில் Pant-ல் அசிங்கம் செய்த Bulli Bai.. ""அதுக்கு"" அடிமையாம்! "
877,Why complete lockdown when people wear masks? Delhi Chief Minister Arvind Kejriwal, பொதுமக்கள் மாஸ்க் போட்டா முழு லாக்டவுன் எதுக்கு? டெல்லி முதல்வர் அரவிந்த் கெஜ்ரிவால்
878,Increase in active cases - Prime Minister Modi held an important meeting!, முடிவுக்கு வந்த இடஒதுக்கீடு வழக்கு- ஜன.12-ல் நீட் முதுநிலை மருத்துவ கலந்தாய்வு தொடக்கம்!
879,Corona suddenly rising at lightning speed.. Minister Mansukh Mandaviya entered the field-major action,"Corona: மாசக் கடைசியில் ""இந்த"" 3 மாநிலங்களில் தினசரி கேஸ்கள் புதிய உச்சம்.. எச்சரிக்கும் ஆய்வறிக்கை!"
880,Uttarakhand Assembly Elections: Congress announces 45 candidates in first phase?,"இந்த மிட்டாய் ரொம்பவே காஸ்ட்லி.. விலை ஜஸ்ட் ரூ.16,000 தான்.. காரணம் மேலே உள்ள தங்கம்!"
881,"Corona: At the end of the month, daily cases in ""these"" 3 states are a new high.. Warning thesis!",திடீரென மின்னல் வேகத்தில் உயரும் கொரோனா.. களத்தில் இறங்கிய அமைச்சர் மன்சுக் மாண்டவியா-முக்கிய ஆக்ஷன் 
882,Corona is spreading like fire.. Consultation with state chief ministers soon.. Prime Minister Modi's speech.. Why is it important,தீயாக பரவும் கொரோனா.. விரைவில் மாநில முதல்வர்களுடன் ஆலோசனை.. பிரதமர் மோடி பேச்சு.. ஏன் முக்கியம்
883,"This candy is very expensive.. The price is just Rs. 16,000.. The reason is the gold on the top!", கொரோனா வேக்சின் சான்றிதழில் பிரதமர் மோடியின் படம் இல்லை.. என்ன காரணம் தெரியுமா? முக்கிய தகவல்
884,PM Modi's picture is not on the corona vaccine certificate.. Do you know the reason? Important information,வாட்டர் டேங்கா இல்ல பண டேங்கா? குவியல் குவியலாக 500 ரூபாய் நோட்டுகள்.. மிரண்டுபோன அதிகாரிகள் 
885,"""I am praying to nature and God..."" says Minister Senthil Balaji- Do you know why?",உத்தரகாண்ட் சட்டசபை தேர்தல்: 45 வேட்பாளர்களை முதல் கட்டமாக அறிவிக்கிறது காங்கிரஸ்? 
886,Child lost at Kabul airport rescued after months,கைதிகள் பேச்சை நம்பி வேலை தேடி தமிழ்நாடு வந்த இலங்கை இளைஞர்: கைது செய்த காவல்துறை
887,Sri Lankan youth who came to Tamil Nadu in search of work believing the words of prisoners: police arrested,கர்நாடகா: கொரோனா கட்டுப்பாடுகளை மீறி மேகதாது அணைக்காக 11 நாள் பாதயாத்திரையை தொடங்கியது காங்.
888,The story ended in the blink of an eye.. The giant mountain that collapsed on the ship.. Last minute video!, காபூல் விமான நிலையத்தில் தொலைந்த குழந்தை பல மாதங்களுக்கு பிறக மீட்பு
889,What is this whole body? Like a cloud.. Strange animal that surprised researchers - Background,என்னங்க இது உடம்பு முழுக்க? மேகம் மாதிரி.. ஆராய்ச்சியாளர்களை வியக்க வைத்த விசித்திர விலங்கு- பின்னணி 
890,Water tanka or cash tanka? Heaps of 500 rupee notes.. Terrified officials,கண்ணிமைக்கும் நேரத்தில் கதை முடிந்தது.. கப்பல் மீது இடிந்து விழுந்த ராட்சச மலை.. கடைசி நிமிட வீடியோ!
891,Karnataka: Congress started 11-day padayatra for Meghadatu Dam in violation of Corona restrictions.,"அரசின் ஒற்றை அறிவிப்பால் பெரும் கலவரம்.. 164 பேர் பலி, பலர் படுகாயம்.. கஜகஸ்தானில் என்ன நடக்கிறது"
892,Two people commit suicide due to fear of Corona.. Two people are under treatment - Tragedy in Madurai,"""இயற்கையையும்,இறைவனையும் வேண்டிக்கொள்கிறேன்.."" சொல்கிறார் அமைச்சர் செந்தில் பாலாஜி- எதற்கு தெரியுமா?"
893,Case registered against Madurai charity organization in 8 sections.. CBI action.. Do you know the reason?,'உ.பி. மக்கள் ஆசி எங்களுக்கே.. ரிசல்ட் வரும்போது இது உங்களுக்கு புரியும்'.. சொல்வது யாருனு பாருங்க! 
894,The Chief Minister who is working in the field will do this too - demanded the former minister,'வாக்குப்பதிவு இயந்திரங்கள்தான் அவர்களின் ஒரே நம்பிக்கை..' மவுனம் கலைத்த மாயாவதி- திடீர் அட்டாக் ஏன்
895,A teacher's dream of Madurai Adinam! A serious consultation with a plan to start a monthly magazine!, மதுரை தொண்டு நிறுவனம் மீது 8 பிரிவுகளில் வழக்குப்பதிவு.. சிபிஐ அதிரடி ஆக்ஷன்.. என்ன காரணம் தெரியுமா
896,Love bite on the neck.. Intimate photos with Sukesh! Actress Jacqueline broke her silence for the first time,கொரோனா அச்சத்தில் இருவர் தற்கொலை.. சிகிச்சையில் இருவர் - மதுரையில் சோகம் 
897,Whose work is this? Controversy over “those” photos at the photo exhibition,களத்தில் இறங்கி பணியாற்றும் முதல்வர் இதையும் செய்யனும் - கோரிக்கை வைக்கும் முன்னாள் அமைச்சர் 
898,"A single announcement by the government caused massive riots.. 164 people were killed, many were injured.. What is happening in Kazakhstan?", மதுரை ஆதினத்தின் ஆசிரியர் கனவு! மாத இதழ் தொடங்கும் திட்டத்துடன் தீவிர ஆலோசனை! 
899,'U.P. People bless us.. You will understand this when the result comes'.. Look who is saying this!, வாரத்துல என்னவிட மற்ற கிழமைகள் தான் மகிழ்ச்சியா இருக்காங்க போல..!
900,Biryani Vechutu in Sundae Status.,சன்டே ஸ்டேட்டஸ்ல பிரியாணி வெச்சுட்டு.. கமுக்கமா சாம்பார் சாப்டுறது சகஜம் தான!
901,'Voting machines are their only hope..' Mayawati broke her silence - why the sudden attack,மீண்டும் முழு லாக்டவுன்? மகாராஷ்டிராவில் புதிய உச்சம்.. புதிய கட்டுப்பாடுகளை அறிவித்த உத்தவ் தாக்கரே
902,Ultra modern life - CCTV that has caught the sheep off guard,கழுத்தில் லவ் பைட்.. சுகேஷுடன் நெருக்கமான புகைப்படங்கள்! முதல்முறையாக மவுனம் கலைத்த நடிகை ஜாக்குலின்
903,"""Gateway of hell"".. a big hole in the earth.. a fire that has been burning for 50 years - where? What happened?",யார் பாத்த வேலையா இது? புகைப்பட கண்காட்சியில் “அந்த” புகைப்படங்களால் சர்ச்சை 
904,The right-wing leader who campaigned against vaccination died of Corona- Who is he? Full information,"""நரகத்தின் வாசல்"".. பூமியில் ஏற்பட்ட பெரிய குழி.. 50 வருடமாக விடாது எரியும் தீ -எங்கு? என்ன நடந்தது?"
905,It seems that other days of the week are happier than me..!,கனவை நினைவாக்கும் Smart Homes @ TVS Emerald Green Enclave..சென்னையில் சொந்த வீடு வாங்க செம சான்ஸ்!
906,2020 history repeated.. Paralyzed Tirupur.. Workers suffering without food,தடுப்பூசிக்கு எதிராக பிரசாரம் செய்த வலதுசாரி தலைவர்.. கொரோனாவால் உயிரிழந்தார்- யார் அவர்? முழு தகவல்
907,Full lockdown again? New peak in Maharashtra.. Uddhav Thackeray announced new restrictions,ஆடுகளை ஆட்டைய போட்டு அல்ட்ரா மாடர்ன் வாழ்க்கை - வசமாய் சிக்க வைத்த சிசிடிவி 
908,Dream-remembering Smart Homes @ TVS Emerald Green Enclave.. Chance to buy your own home in Chennai!,கொரோனாவால் பள்ளிகளுக்கு விடுமுறை.. அரசின் அறிவிப்பால் ஸ்டூடண்ட்ஸ் ஹாப்பி அண்ணாச்சி 
909,What colors are in hand! Rajendra Balaji removed the ropes tied by magic!,மீண்டும் திரும்பிய 2020 வரலாறு.. முடங்கிய திருப்பூர்.. உணவு இல்லாமல் தவிக்கும் தொழிலாளர்கள் 
910,Holidays for schools due to Corona.. Students are happy Annachi due to the announcement of the government,இதென்ன கலர் கலராக கையில்! மந்திரித்து கட்டிய கயிறுகளை கழற்றிக் கொடுத்த ராஜேந்திர பாலாஜி! 
911,30.58 crore people affected by Corona in the world - Total cases in Turkey close to 1 crore!, பாஜக தமிழக மக்களுக்கு துரோகம் செய்கிறது - கனிமொழி எம்.பி. காட்டம் 
912,Vellore CMC 200 medical workers in the hospital are confirmed to be corona positive,வேலூர் சி.எம்.சி. மருத்துவமனையில் மருத்துவ பணியாளர்கள் 200 பேருக்கு கொரோனா உறுதி
913,BJP is betraying the people of Tamil Nadu - MP Kanimozhi show off,உலகில் கொரோனாவால் 30.58 கோடி பேர் பாதிப்பு - துருக்கியில் 1 கோடியை நெருங்கும் மொத்த கேஸ்கள்! 
914,"""Rape incident.."" Congress slams Karnataka Home Minister for opposing Meghadatu padayatra. Siva Kumar",Coronavirus: 13 வயது மகனுக்கு கொரோனா பாதிப்பு.. தனிமைப்படுத்த தாய் செய்த காரியத்தை பாருங்க! 
915,Tamil Nadu ranks 3rd in water management in the country,அமெரிக்காவில் சீக்கிய டாக்ஸி டிரைவர் மீது தாக்குதல்.. வெளியான பரபர வீடியோ.. குவியும் கண்டனம்! 
916,"""Jati Otu.."" Karnataka Congress is rallying against Tamil Nadu in the case of Meghadatu! This is the background!",சித்தார்த் சர்ச்சை: சாய்னா மீது விமர்சனம் - மகளிர் ஆணையம் தலையீடு
917,Corona spreads like fire.. Kushbu in isolation at home! Vellore MLA is also infected,"""பலாத்கார சம்பவம்.."" மேகதாது பாதயாத்திரையை எதிர்த்த கர்நாடக உள்துறை அமைச்சரை விளாசிய காங். சிவகுமார்"
918,"How about the Tamilnadu Lockdown?.. bus services being stopped ""all over""?","""ஜாதி ஓட்டு.."" மேகதாது விஷயத்தில் தமிழகத்திற்கு எதிராக அணி திரளும் கர்நாடக காங்.! பின்னணி இதுதான்! "
919,Siddharth Controversy: Criticism on Saina - Women's Commission intervenes,"Tamilnadu Lockdown எப்படியிருக்கும்?.. ""இங்கெல்லாம்"" பேருந்து சேவை நிறுத்தப்படுகிறதா? "
920,Coronavirus: 13-year-old son infected with Corona.. See what the mother did to isolate herself!,நீர் மேலாண்மையில் நாட்டிலேயே தமிழகத்திற்கு 3வது இடம்.. நெகிழ்ந்த துரைமுருகன்.. முதல்வருடன் சந்திப்பு 
921,Attack on Sikh taxi driver in America.,தை பிறந்ததுமே வழி.. புரமோஷனாமே.. பதவியை இழக்கும் அந்த அமைச்சர் யார்? பரபரக்கும் தமிழக அரசியல் 
922,Who is the minister who will lose his position because of his birth? The politics of Tamil Nadu is spreading,"""காவி"" குஷ்புவின் தில்.. ஒரே ட்வீட்டில் டேமேஜ்.. ஜெர்க் ஆன பாஜக.. மலைக்கும் திராவிட கட்சிகள்.. ஏன்?"
923,Rising Corona - University Semester Exams Postponed Indefinitely, அதிகரிக்கும் கொரோனா - பல்கலைக்கழக செமஸ்டர் தேர்வுகள் தேதி குறிப்பிடாமல் தள்ளி வைப்பு
924,Happy news for the people of Erode.. Chief Minister Stalin who fulfilled the 20-year demand,27% இடஒதுக்கீடு பற்றி சுப்ரீம் கோர்ட் அளித்த தீர்ப்பு பெரியாருக்கு கிடைத்த காணிக்கை - மு.க ஸ்டாலின் 
925,"""Kavi"" Khushbu's Dil.. Damage in one tweet.. BJP is a jerk.. Hill and Dravidian parties.. Why?",தீயாய் பரவும் கொரோனா.. வீட்டு தனிமையில் குஷ்பு! வேலூர் எம்எல்ஏவுக்கும் தொற்று உறுதி 
926,Supreme Court verdict on 27% reservation is gift to Periyar - MG Stalin,ஈரோடு மக்களுக்கு ஹாப்பி நியூஸ்.. 20 ஆண்டுகால கோரிக்கையை நிறைவேற்றிய முதல்வர் ஸ்டாலின் 
927,"Prasar Bharti announcement.. ""Don't think of shutting down.."" Ramadass of Pamaka Anbumani Ramadas!","பிரசார் பாரதி அறிவிப்பு.. ""முடக்க நினைக்கக் கூடாது.."" கொந்தளிக்கும் பாமக அன்புமணி ராமதாஸ்!"
928,Pay attention to the vaccine.. No full lockdown next week! Medical Committee Recommendation to Chief,சென்னை ரேஷன் கடையில் முதல்வர் திடீர் விசிட்! மாஸ்க் போடாதவர்களை பார்த்ததும் என்ன செய்தார் தெரியுமா? 
929,Chief Minister's sudden visit to Chennai ration shop! Do you know what he did when he saw people not wearing masks?,தடுப்பூசியில் கவனம் வைங்க.. அடுத்த வாரம் முழு ஊரடங்கு வேண்டாம்! முதல்வருக்கு மருத்துவ குழு பரிந்துரை
930,Don't let the girls go to the police spot in half an hour! DGP Shailendrababu action order,"ஜல்லிக்கட்டு: 300 மாடுபிடி வீரர்கள்,150 பார்வையாளர்களுக்கு மட்டும் அனுமதி - என்னென்ன கட்டுப்பாடுகள் "
931,"Jallikattu: 300 cowherds, 150 spectators allowed only - What are the restrictions?", அப்படியே மாறும் திமுக ஐடி விங்! வேற லெவல் பிளான்.. டி.ஆர்.பி.ராஜாவுக்கு காத்திருக்கும் முக்கிய பொறுப்பு!
932,The monster of online rummy.. Another victim of greed.. A young man committed suicide due to debt,முதல்வர் ஸ்டாலின் போட்ட உத்தரவு.. உடனே களமிறங்கிய அமைச்சர்கள்.. ரேஷன் கடைகளில் அதிரடி ஆய்வு! 
933,Chief Minister Stalin's orders.. Ministers immediately stepped into the field.. Active inspection of ration shops!,எல்காட் நிறுவன செயல் இயக்குநராக ஐஏஎஸ் அதிகாரி அருண்ராஜ் நியமனம் - 3 ஐஏஎஸ் அதிகாரிகள் டிரான்ஸ்பர் 
934,Heyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,சிறுமிகளுக்கு சீண்டலா.. அரை மணி நேரத்தில் போலீஸ் ஸ்பாட் போகனும்! டிஜிபி சைலேந்திரபாபு அதிரடி உத்தரவு
935,DMK's IT Wing will change like that! Another level plan.. Important responsibility waiting for DRP Raja!,சாய்னாவுக்கு ஆபாச ட்வீட் போட்ட சித்தார்த்.. வசமாக சிக்கி கொண்டது இப்படித்தான்.. பாய்ந்தது வழக்கு
936,Appointment of IAS officer Arunraj as Executive Director of Elcott - Transfer of 3 IAS officers,தென் கடலோர மாவட்டங்களில் மிதமான மழை... சூறவாளிக்காற்றும் வீசுமாம் 
937,12 victims in 5 months... No end to online rummy..? Anbumani asked on Twitter,ஆன்லைன் ரம்மி எனும் அரக்கன்.. கோரப்பசிக்கு மற்றொரு உயிர்ப்பலி.. கடனால் தற்கொலை செய்து கொண்ட இளைஞர்
938,Night curfew in Tamil Nadu Jan. Extension till 31. Jan. Full curfew on 16! What are the restrictions?,கப்சிப் திமுக.. ஹிந்துக்கள் விஷயத்தில் இப்படிதான்.. முக ஸ்டாலினை கேள்வி மேல் கேள்வி கேட்கும் காயத்ரி
939,Kapsip DMK.. This is the case with Hindus.. Gayatri questions Stalin in the face.,5 மாதத்தில் 12 பலிகள்... ஆன்லைன் ரம்மிக்கு எண்டே கிடையாதா..? ட்விட்டரில் அன்புமணி கேள்வி 
940,Moderate rain in South Coastal Districts... Cyclone also likely,"காய்ச்சல், சளி, இருமல், உடல் வலி இருந்தாலே கொரோனா பரிசோதனை கட்டாயம்!"
941,Prime Minister Modi will also inaugurate a new campus of classical institute along with 11 medical colleges,"ஹைய்யா.. ரொம்ப நாள் ஆசை, பீச்சுக்கு வந்துட்டேன்.. கடலலையில் கால் நனைத்து பூரித்த மாற்று திறனாளி பெண்"
942,14000 daily cases in Tamil Nadu.. The positive rate is worse in these 6 districts.,நாளை முதல் பொங்கல் சிறப்பு பேருந்துகள்- சென்னையில் இருந்து டிராபிக்கில் சிக்காமல் வெளியூர் செல்லலாம்
943,"If you have fever, cold, cough, body ache, corona test is mandatory!", சென்னையில் புது தலைவலி.. வீட்டு தனிமையில் இருப்பவர்களால் குடும்பத்தினருக்கு வேகமாக கொரோனா பரவுதாம்
944,Public will not be allowed in places of worship from January 14 to 18: Tamil Nadu Government Notification,தமிழகத்தில் இரவு நேர ஊரடங்கு ஜன. 31 வரை நீட்டிப்பு.. ஜன. 16ல் முழு ஊரடங்கு! கட்டுப்பாடுகள் என்னென்ன?
945,Pongal Special Buses from Tomorrow - You can travel from Chennai without getting stuck in traffic,11 மருத்துவ கல்லூரிகளுடன் செம்மொழி நிறுவன புதிய வளாகத்தையும் திறந்து வைக்கிறார் பிரதமர் மோடி
946,"A new headache in Chennai.. Due to people who are isolated at home, the corona virus is spreading rapidly to the family",ஜனவரி 14 முதல் 18ம் தேதி வரை வழிபாட்டுத் தலங்களில் பொதுமக்களுக்கு அனுமதி இல்லை: தமிழக அரசு அறிவிப்பு
947,Siddharth who sent an obscene tweet to Saina.. this is how he got caught.,ஜன.16-ல் அலங்காநல்லூர் ஜல்லிக்கட்டு நடக்குமா? தைப்பூச நாளன்று என்ன செய்வது? தமிழக அரசு விளக்குமா? 
948,Will Alankanallur jallikattu happen on Jan 16? What to do on Thai Puja Day? Will the Tamil Nadu government explain?,"துணி மாஸ்க், சர்ஜிக்கல் மாஸ்க், N95 மாஸ்க்.. எதை அணிவது பாதுகாப்பானது? மருத்துவர்கள் பரிந்துரை என்ன"
949,"Cloth mask, surgical mask, N95 mask.. Which is safe to wear? What doctors recommend",தமிழகத்தில் 14000ஐ நெருங்கும் தினசரி பாதிப்பு.. இந்த 6மாவட்டங்களில் பாசிட்டிவ் விகதம் மோசம்
950,The work of giving booster dose in Tamil Nadu.. Chief Minister Stalin started!,'ஃபோன் பண்ணுனா போதும்..' வீட்டுக்கே வந்து தடுப்பூசி போடுவோம்.. சென்னை மாநகராட்சியின் சூப்பர் திட்டம்
951,"Kamal Haasan tweeted, ""One can only remember Periyar.. Cannot humiliate.."""," ""பெரியாரை ஞாபகப்படுத்த மட்டுமே முடியும்.. அவமானப்படுத்த முடியாது.."" கமல் ஹாசன் ட்வீட்"
952,Rising Corona..Additional restrictions in temples..Know this before leaving for darshan, உயரும் கொரோனா..கோயில்களில் கூடுதல் கட்டுப்பாடுகள்.. தரிசனத்திற்கு கிளம்பும் முன் இதை தெரிஞ்சுக்கோங்க
953,Pongal Gift 2022: Are Pongal products quality? Chief Minister Stalin's action order!,Tamilnadu Lockdown: மேலும் 10 நாட்களுக்கு இரவு நேர ஊரடங்கு? ஆலோசனை தொடங்கியது! 
954,Are you going to travel by Chennai Suburban Train?.. Don't forget to carry this.. Otherwise Rs.500 fine,தமிழகத்தில் பூஸ்டர் டோஸ் போடும் பணி.. முதல்வர் ஸ்டாலின் தொடங்கி வைத்தார்!
955,"If it wasn't for you, we would have stopped listening sir.. Today is KJ Yesudas's birthday.",பெரியாரை அவமதிக்கிறவர்களுக்கும் பெரியார்தான் ஆசான்...சிறப்புறுக செருப்பாளர்கள் -வைரமுத்து 
956,"""Corona Surge"".. The virus is spreading wildly in Chennai.. Beds are filling up fast in hospitals!",கொரோனா தீவிரம் : பொங்கல் பண்டிகையில் ஜல்லிக்கட்டுபோட்டிகள் நடக்குமா?- இன்று அறிவிப்பு வெளியாகிறது 
957,'Just make a phone call..' We will come to your home and get vaccinated.. Chennai Corporation's super plan,சென்னை புறநகர் ரயிலில் பயணிக்க போறீங்களா?.. மறக்காம இதை கொண்டு போங்க.. இல்ல ரூ.500 தண்டம் கட்டணும் 
958,Tamilnadu Lockdown: Night curfew for 10 more days? Counseling has begun!,நீங்க இல்லைனா எப்பவோ பாட்டு கேக்குறத நிறுத்தியிருப்போம் சார்.. KJ யேசுதாஸ் பிறந்தநாள் இன்று
959,Rising Corona.. Jallikattu competition in Tamil Nadu will be held as planned.. Minister Murthy confirmed!,Pongal Gift 2022: பொங்கல் பொருட்கள் தரமாக இருக்கிறதா? முதல்வர் ஸ்டாலின் போட்ட அதிரடி உத்தரவு!
960,Periyar is a teacher even to those who insult Periyar...special cobblers - Vairamuthu,எகிறும் கொரோனா.. தமிழகத்தில் ஜல்லிக்கட்டு போட்டி திட்டமிட்டபடி நடக்கும்.. அமைச்சர் மூர்த்தி உறுதி! 
961,Are you going to Chennai electric train.. From today you must strictly follow the new rules..,"""கொரோனா சர்ஜ்"".. சென்னையில் தீயாய் பரவும் வைரஸ்.. மருத்துவமனைகளில் வேக வேகமாக நிரம்பும் படுக்கைகள்!"
962,With the cook girl in the garden.. the love of the Dalit youth.. the owner who saw it in person.. the shock at the end,சென்னை எலக்ட்ரிக் ட்ரெய்ன்ல போறீங்களா.. இன்றிலிருந்து புது ரூல்ச கண்டிப்பா கடைபிடிக்கனும்.. 
963,"I can't.. ""The mind is very painful"".. Coimbatore Ajith fans cried because of the loss of strength.","கோவை மருதமலை அடிவாரத்தில் யானை சாணத்தில் நாப்கின், மாஸ்க்!.. எத்தனை ஆபத்தில் வனவிலங்குகள்? "
964,Corona severity: Will there be Jallikattu competitions during Pongal?- The announcement will be made today,தோட்டத்தில் சமையல்கார பெண்ணுடன்.. தலித் இளைஞரின் காதல்.. நேரில் பார்த்துவிட்ட ஓனர்.. கடைசியில் ஷாக்
965,"Napkin, mask in elephant dung at the foot of Coimbatore Marudamalai!.. How many wildlife are in danger?",முடியல.. “மனசு ரொம்ப வலி(மை)க்குது”.. வலிமை தள்ளிப்போனதால் கதறிய கோவை அஜித் ஃபேன்ஸ் 
966,Disruption in Modi's security: other investigations canceled! The Supreme Court formed a 4-member inquiry committee and took action, கொழும்பு டூ காங்கேசன்துறை... இலங்கையில் இந்தியாவின் நிதி உதவியுடன் புதிய ரயில் சேவை தொடக்கம்!
967,The central government accused the DGP in the Supreme Court of security failure for the Prime Minister! Argument,பிரதமருக்கு பாதுகாப்பு குளறுபடி.. டிஜிபி மீது உச்சநீதிமன்றத்தில் மத்திய அரசு குற்றச்சாட்டு! பரபர வாதம்
968,Modi's Tamil Nadu visit canceled - opening of medical colleges on video due to increase in Corona,மோடி பாதுகாப்பில் குளறுபடி: பிற விசாரணைகள் ரத்து! 4 பேர் விசாரணை குழு அமைத்து உச்சநீதிமன்றம் அதிரடி
969,Colombo to Kangesanthurai... New train service started in Sri Lanka with the help of India!, மோடியின் தமிழக வருகை ரத்து - கொரோனா அதிகரிப்பால் காணொலியில் மருத்துவக்கல்லூரிகள் திறப்பு
970,Is Rajendra Balaji special? Tamil Nadu Government Argument in Supreme Court.. Adjournment of Bail Petition,பொதுசிவில் சட்டம்- சட்ட ஆணையம் ஆய்வு செய்து வருகிறது... டெல்லி ஹைகோர்ட்டில் மத்திய அரசு 
